Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Product_ID,Product_Name,Category,Region,City,Quantity,Unit_Price,Discount,Sales,Profit,Profit_Margin
ORD-100033,2023-05-14,2023-05-17,First Class,CUST-1242,PROD-1005,Camera,Electronics,East,Cambridge,7,318.4,0.15,1894.48,788.37,0.4161
ORD-100034,2023-12-22,2023-12-28,Same Day,CUST-1138,PROD-1033,Protein Powder,Food & Grocery,East,Peterborough,9,797.47,0.0,7177.23,2742.03,0.382
ORD-100035,2022-09-02,2022-09-08,Second Class,CUST-1098,PROD-1016,Sofa,Home & Garden,South,London,4,663.83,0.0,2655.32,1578.24,0.5944
ORD-100036,2023-09-12,2023-09-13,Second Class,CUST-1140,PROD-1012,Shoes,Clothing,East,Cambridge,6,216.86,0.0,1301.16,616.02,0.4734
ORD-100037,2024-10-02,2024-10-03,Standard Class,CUST-1293,PROD-1003,Headphones,Electronics,Central,Leicester,3,236.88,0.15,604.04,303.09,0.5018
ORD-100038,2024-09-05,2024-09-06,Standard Class,CUST-1205,PROD-1021,Bookshelf,Home & Garden,South,London,5,97.87,0.2,391.48,183.6,0.469
ORD-100039,2024-12-06,2024-12-10,Same Day,CUST-1226,PROD-1026,Running Shoes,Sports,Central,Derby,10,428.06,0.0,4280.6,1661.2,0.3881
ORD-100040,2022-07-23,2022-07-30,Second Class,CUST-1108,PROD-1019,Curtains,Home & Garden,Central,Derby,1,188.03,0.1,169.23,92.83,0.5485
ORD-100041,2023-08-03,2023-08-09,Same Day,CUST-1036,PROD-1018,Lamp,Home & Garden,North,Leeds,5,1076.69,0.15,4575.93,2509.45,0.5484
ORD-100042,2022-11-02,2022-11-05,Second Class,CUST-1036,PROD-1012,Shoes,Clothing,West,Bristol,9,216.86,0.0,1951.74,924.03,0.4734
ORD-100043,2024-10-21,2024-10-26,Same Day,CUST-1224,PROD-1007,Monitor,Electronics,West,Exeter,7,51.06,0.0,357.42,130.27,0.3645
ORD-100044,2022-02-22,2022-02-23,Second Class,CUST-1294,PROD-1002,Tablet,Electronics,West,Exeter,10,223.3,0.0,2233.0,1061.7,0.4755
ORD-100045,2024-06-24,2024-06-27,Second Class,CUST-1299,PROD-1036,Organic Honey,Food & Grocery,North,Leeds,8,590.43,0.1,4251.1,1175.54,0.2765
ORD-100046,2022-08-03,2022-08-10,Second Class,CUST-1168,PROD-1030,Swimwear,Sports,East,Peterborough,6,234.35,0.0,1406.1,527.16,0.3749
ORD-100047,2023-10-07,2023-10-10,First Class,CUST-1059,PROD-1025,Dumbbells,Sports,Central,Birmingham,8,92.15,0.0,737.2,378.88,0.5139
ORD-100048,2024-01-11,2024-01-16,Same Day,CUST-1226,PROD-1029,Football,Sports,West,Bristol,4,575.73,0.1,2072.63,624.38,0.3013
ORD-100049,2022-11-21,2022-11-24,Standard Class,CUST-1282,PROD-1007,Monitor,Electronics,North,Liverpool,4,51.06,0.15,173.6,63.27,0.3645
ORD-100050,2023-08-21,2023-08-26,First Class,CUST-1212,PROD-1029,Football,Sports,North,Leeds,8,575.73,0.15,3914.96,1179.39,0.3013
ORD-100051,2024-02-25,2024-02-27,Second Class,CUST-1035,PROD-1030,Swimwear,Sports,South,Portsmouth,9,234.35,0.0,2109.15,790.74,0.3749
ORD-100052,2023-09-04,2023-09-11,Same Day,CUST-1076,PROD-1021,Bookshelf,Home & Garden,Central,Leicester,1,97.87,0.0,97.87,45.9,0.469
ORD-100053,2024-02-12,2024-02-16,First Class,CUST-1096,PROD-1030,Swimwear,Sports,East,Ipswich,9,234.35,0.2,1687.32,632.59,0.3749
ORD-100054,2024-08-26,2024-09-01,Same Day,CUST-1197,PROD-1014,Suit,Clothing,West,Bristol,6,467.85,0.15,2386.04,1430.4,0.5995
ORD-100055,2022-07-25,2022-08-01,Same Day,CUST-1051,PROD-1008,T-Shirt,Clothing,Central,Derby,6,301.61,0.2,1447.73,745.92,0.5152
ORD-100056,2022-03-15,2022-03-20,Standard Class,CUST-1120,PROD-1034,Tea Set,Food & Grocery,West,Exeter,8,142.17,0.2,909.89,360.45,0.3961
ORD-100057,2022-04-25,2022-04-28,First Class,CUST-1191,PROD-1019,Curtains,Home & Garden,North,Manchester,6,188.03,0.2,902.54,495.07,0.5485
ORD-100058,2022-06-11,2022-06-16,Same Day,CUST-1123,PROD-1026,Running Shoes,Sports,Central,Coventry,3,428.06,0.0,1284.18,498.36,0.3881
ORD-100059,2022-01-20,2022-01-27,Same Day,CUST-1147,PROD-1029,Football,Sports,East,Peterborough,5,575.73,0.15,2446.85,737.12,0.3013
ORD-100060,2023-08-28,2023-08-29,Same Day,CUST-1140,PROD-1036,Organic Honey,Food & Grocery,East,Colchester,5,590.43,0.15,2509.33,693.9,0.2765
ORD-100061,2023-04-17,2023-04-22,First Class,CUST-1112,PROD-1003,Headphones,Electronics,Central,Nottingham,5,236.88,0.2,947.52,475.44,0.5018
ORD-100062,2024-06-21,2024-06-22,First Class,CUST-1067,PROD-1008,T-Shirt,Clothing,North,Manchester,5,301.61,0.2,1206.44,621.6,0.5152
ORD-100063,2023-04-08,2023-04-15,Same Day,CUST-1285,PROD-1007,Monitor,Electronics,West,Bristol,3,51.06,0.2,122.54,44.66,0.3645
ORD-100064,2023-06-21,2023-06-26,Same Day,CUST-1190,PROD-1016,Sofa,Home & Garden,Central,Birmingham,8,663.83,0.0,5310.64,3156.48,0.5944
ORD-100065,2023-03-30,2023-04-05,Standard Class,CUST-1237,PROD-1001,Smartphone,Electronics,Central,Derby,6,809.75,0.1,4372.65,2528.12,0.5782
ORD-100066,2022-10-05,2022-10-09,Same Day,CUST-1189,PROD-1019,Curtains,Home & Garden,West,Bristol,2,188.03,0.0,376.06,206.28,0.5485
ORD-100067,2024-01-29,2024-01-31,Same Day,CUST-1227,PROD-1031,Coffee Beans,Food & Grocery,Central,Nottingham,5,86.95,0.0,434.75,260.8,0.5999
ORD-100068,2023-03-11,2023-03-17,Standard Class,CUST-1025,PROD-1012,Shoes,Clothing,North,Sheffield,2,216.86,0.15,368.66,174.54,0.4734
ORD-100069,2022-10-24,2022-10-26,First Class,CUST-1089,PROD-1021,Bookshelf,Home & Garden,South,Oxford,1,97.87,0.0,97.87,45.9,0.469
ORD-100070,2023-05-03,2023-05-08,First Class,CUST-1008,PROD-1001,Smartphone,Electronics,South,London,6,809.75,0.2,3886.8,2247.22,0.5782
ORD-100071,2022-05-11,2022-05-15,Same Day,CUST-1185,PROD-1008,T-Shirt,Clothing,West,Bath,2,301.61,0.15,512.74,264.18,0.5152
ORD-100072,2024-12-03,2024-12-06,Same Day,CUST-1015,PROD-1032,Olive Oil,Food & Grocery,South,Oxford,1,172.25,0.15,146.41,68.65,0.4689
ORD-100073,2023-10-22,2023-10-27,Second Class,CUST-1033,PROD-1006,Speaker,Electronics,West,Plymouth,2,80.29,0.0,160.58,63.36,0.3946
ORD-100074,2023-11-26,2023-12-03,Same Day,CUST-1204,PROD-1013,Hoodie,Clothing,West,Plymouth,4,730.12,0.05,2774.46,1349.3,0.4863
ORD-100075,2024-08-29,2024-08-30,Standard Class,CUST-1043,PROD-1027,Bicycle,Sports,East,Ipswich,6,241.05,0.0,1446.3,671.88,0.4646
ORD-100076,2023-11-07,2023-11-13,Standard Class,CUST-1210,PROD-1006,Speaker,Electronics,East,Cambridge,9,80.29,0.0,722.61,285.12,0.3946
ORD-100077,2024-11-05,2024-11-07,Second Class,CUST-1246,PROD-1018,Lamp,Home & Garden,Central,Leicester,6,1076.69,0.0,6460.14,3542.76,0.5484
ORD-100078,2022-02-23,2022-02-28,First Class,CUST-1014,PROD-1014,Suit,Clothing,West,Bath,10,467.85,0.1,4210.65,2524.23,0.5995
ORD-100079,2022-10-18,2022-10-24,Standard Class,CUST-1046,PROD-1011,Dress,Clothing,South,Oxford,7,163.61,0.0,1145.27,289.66,0.2529
ORD-100080,2022-11-19,2022-11-26,Standard Class,CUST-1041,PROD-1036,Organic Honey,Food & Grocery,Central,Birmingham,1,590.43,0.0,590.43,163.27,0.2765
ORD-100081,2024-05-30,2024-05-31,First Class,CUST-1249,PROD-1017,Coffee Table,Home & Garden,South,Oxford,2,660.41,0.0,1320.82,547.6,0.4146
ORD-100082,2024-12-26,2025-01-01,Second Class,CUST-1256,PROD-1031,Coffee Beans,Food & Grocery,West,Cardiff,3,86.95,0.05,247.81,148.66,0.5999
ORD-100083,2024-05-05,2024-05-08,Standard Class,CUST-1207,PROD-1036,Organic Honey,Food & Grocery,West,Bath,7,590.43,0.15,3513.06,971.46,0.2765
ORD-100084,2024-03-31,2024-04-05,Standard Class,CUST-1202,PROD-1005,Camera,Electronics,West,Bristol,4,318.4,0.05,1209.92,503.5,0.4161
ORD-100085,2024-11-11,2024-11-17,Standard Class,CUST-1271,PROD-1021,Bookshelf,Home & Garden,South,Southampton,3,97.87,0.0,293.61,137.7,0.469
ORD-100086,2023-10-24,2023-10-31,First Class,CUST-1077,PROD-1031,Coffee Beans,Food & Grocery,West,Bath,10,86.95,0.05,826.02,495.52,0.5999
ORD-100087,2022-04-26,2022-04-29,Standard Class,CUST-1158,PROD-1030,Swimwear,Sports,West,Exeter,5,234.35,0.1,1054.58,395.37,0.3749
ORD-100088,2023-08-11,2023-08-12,Standard Class,CUST-1259,PROD-1028,Tennis Racket,Sports,North,Manchester,6,329.27,0.2,1580.5,699.17,0.4424
ORD-100089,2023-01-21,2023-01-24,Same Day,CUST-1256,PROD-1029,Football,Sports,Central,Derby,1,575.73,0.05,546.94,164.77,0.3013
ORD-100090,2024-12-09,2024-12-14,Second Class,CUST-1186,PROD-1011,Dress,Clothing,North,Leeds,8,163.61,0.05,1243.44,314.49,0.2529
ORD-100091,2022-04-18,2022-04-25,First Class,CUST-1033,PROD-1018,Lamp,Home & Garden,West,Plymouth,6,1076.69,0.15,5491.12,3011.35,0.5484
ORD-100092,2022-06-16,2022-06-21,Second Class,CUST-1179,PROD-1018,Lamp,Home & Garden,East,Colchester,3,1076.69,0.0,3230.07,1771.38,0.5484
ORD-100093,2022-09-19,2022-09-25,Standard Class,CUST-1216,PROD-1019,Curtains,Home & Garden,Central,Nottingham,6,188.03,0.2,902.54,495.07,0.5485
ORD-100094,2022-06-08,2022-06-11,Standard Class,CUST-1259,PROD-1031,Coffee Beans,Food & Grocery,South,Brighton,3,86.95,0.0,260.85,156.48,0.5999
ORD-100095,2024-02-11,2024-02-13,Second Class,CUST-1092,PROD-1033,Protein Powder,Food & Grocery,North,Newcastle,10,797.47,0.0,7974.7,3046.7,0.382
ORD-100096,2023-02-02,2023-02-05,Same Day,CUST-1236,PROD-1034,Tea Set,Food & Grocery,South,Southampton,8,142.17,0.2,909.89,360.45,0.3961
ORD-100097,2022-07-30,2022-08-05,Standard Class,CUST-1145,PROD-1016,Sofa,Home & Garden,North,Sheffield,6,663.83,0.1,3584.68,2130.62,0.5944
ORD-100098,2024-04-29,2024-04-30,Same Day,CUST-1257,PROD-1005,Camera,Electronics,South,Portsmouth,6,318.4,0.0,1910.4,795.0,0.4161
ORD-100099,2023-11-18,2023-11-25,Second Class,CUST-1070,PROD-1023,Plant Pot,Home & Garden,South,London,6,639.19,0.0,3835.14,1679.1,0.4378
ORD-100100,2022-11-03,2022-11-08,Same Day,CUST-1056,PROD-1000,Laptop,Electronics,North,Manchester,5,430.02,0.0,2150.1,533.5,0.2481
ORD-100101,2024-07-25,2024-07-26,Standard Class,CUST-1255,PROD-1019,Curtains,Home & Garden,North,Manchester,4,188.03,0.05,714.51,391.93,0.5485
ORD-100102,2022-10-22,2022-10-25,Same Day,CUST-1000,PROD-1034,Tea Set,Food & Grocery,North,Liverpool,10,142.17,0.0,1421.7,563.2,0.3961
ORD-100103,2024-01-09,2024-01-10,Standard Class,CUST-1199,PROD-1036,Organic Honey,Food & Grocery,West,Cardiff,2,590.43,0.1,1062.77,293.89,0.2765
ORD-100104,2022-05-19,2022-05-22,Second Class,CUST-1053,PROD-1024,Yoga Mat,Sports,East,Ipswich,1,108.76,0.0,108.76,39.47,0.3629
ORD-100105,2024-09-07,2024-09-13,Second Class,CUST-1069,PROD-1034,Tea Set,Food & Grocery,East,Cambridge,8,142.17,0.15,966.76,382.98,0.3961
ORD-100106,2023-02-13,2023-02-14,First Class,CUST-1158,PROD-1002,Tablet,Electronics,East,Cambridge,1,223.3,0.2,178.64,84.94,0.4755
ORD-100107,2023-01-27,2023-01-30,First Class,CUST-1024,PROD-1034,Tea Set,Food & Grocery,West,Exeter,1,142.17,0.2,113.74,45.06,0.3962
ORD-100108,2024-06-19,2024-06-23,First Class,CUST-1095,PROD-1017,Coffee Table,Home & Garden,North,Newcastle,7,660.41,0.05,4391.73,1820.77,0.4146
ORD-100109,2023-01-05,2023-01-10,First Class,CUST-1164,PROD-1027,Bicycle,Sports,North,Sheffield,10,241.05,0.2,1928.4,895.84,0.4646
ORD-100110,2024-05-22,2024-05-24,Same Day,CUST-1179,PROD-1005,Camera,Electronics,East,Ipswich,5,318.4,0.05,1512.4,629.37,0.4161
ORD-100111,2024-04-11,2024-04-14,Second Class,CUST-1015,PROD-1027,Bicycle,Sports,East,Norwich,2,241.05,0.15,409.79,190.37,0.4646
ORD-100112,2024-02-24,2024-02-29,Standard Class,CUST-1078,PROD-1008,T-Shirt,Clothing,North,Leeds,6,301.61,0.0,1809.66,932.4,0.5152
ORD-100113,2024-01-22,2024-01-26,First Class,CUST-1142,PROD-1028,Tennis Racket,Sports,North,Liverpool,3,329.27,0.1,889.03,393.28,0.4424
ORD-100114,2022-08-30,2022-09-02,First Class,CUST-1228,PROD-1011,Dress,Clothing,West,Bath,7,163.61,0.1,1030.74,260.69,0.2529
ORD-100115,2022-12-20,2022-12-26,Same Day,CUST-1044,PROD-1012,Shoes,Clothing,North,Leeds,2,216.86,0.05,412.03,195.07,0.4734
ORD-100116,2023-09-07,2023-09-14,Second Class,CUST-1089,PROD-1022,Mirror,Home & Garden,North,Liverpool,9,710.06,0.0,6390.54,2124.9,0.3325
ORD-100117,2022-09-23,2022-09-28,Standard Class,CUST-1033,PROD-1023,Plant Pot,Home & Garden,Central,Derby,6,639.19,0.05,3643.38,1595.15,0.4378
ORD-100118,2024-11-25,2024-11-28,Second Class,CUST-1282,PROD-1020,Rug,Home & Garden,North,Sheffield,8,47.19,0.15,320.89,188.02,0.5859
ORD-100119,2023-09-15,2023-09-17,Second Class,CUST-1165,PROD-1032,Olive Oil,Food & Grocery,North,Manchester,9,172.25,0.0,1550.25,726.84,0.4689
ORD-100120,2023-09-13,2023-09-18,Standard Class,CUST-1257,PROD-1012,Shoes,Clothing,Central,Leicester,3,216.86,0.15,552.99,261.81,0.4734
ORD-100121,2022-03-26,2022-04-02,Standard Class,CUST-1041,PROD-1009,Jeans,Clothing,South,Oxford,10,750.34,0.0,7503.4,3964.5,0.5284
ORD-100122,2023-09-11,2023-09-15,Second Class,CUST-1207,PROD-1001,Smartphone,Electronics,West,Bath,5,809.75,0.15,3441.44,1989.72,0.5782
ORD-100123,2023-10-16,2023-10-22,First Class,CUST-1204,PROD-1021,Bookshelf,Home & Garden,Central,Coventry,6,97.87,0.2,469.78,220.32,0.469
ORD-100124,2023-05-23,2023-05-25,Standard Class,CUST-1025,PROD-1015,Shorts,Clothing,West,Bristol,5,640.74,0.05,3043.51,991.8,0.3259
ORD-100125,2022-11-23,2022-11-27,Same Day,CUST-1255,PROD-1020,Rug,Home & Garden,Central,Leicester,4,47.19,0.2,151.01,88.48,0.5859
ORD-100126,2024-08-21,2024-08-24,Standard Class,CUST-1055,PROD-1022,Mirror,Home & Garden,North,Manchester,5,710.06,0.05,3372.78,1121.47,0.3325
ORD-100127,2023-02-03,2023-02-06,First Class,CUST-1037,PROD-1025,Dumbbells,Sports,East,Norwich,7,92.15,0.0,645.05,331.52,0.5139
ORD-100128,2022-09-01,2022-09-03,Standard Class,CUST-1201,PROD-1028,Tennis Racket,Sports,Central,Leicester,10,329.27,0.15,2798.79,1238.11,0.4424
ORD-100129,2024-11-08,2024-11-12,Standard Class,CUST-1023,PROD-1021,Bookshelf,Home & Garden,Central,Leicester,3,97.87,0.0,293.61,137.7,0.469
ORD-100130,2023-09-23,2023-09-30,Standard Class,CUST-1242,PROD-1001,Smartphone,Electronics,East,Ipswich,2,809.75,0.05,1538.52,889.52,0.5782
ORD-100131,2023-02-22,2023-02-26,Same Day,CUST-1031,PROD-1020,Rug,Home & Garden,West,Cardiff,7,47.19,0.15,280.78,164.52,0.5859
ORD-100132,2024-02-11,2024-02-14,Second Class,CUST-1235,PROD-1013,Hoodie,Clothing,Central,Leicester,8,730.12,0.1,5256.86,2556.58,0.4863
ORD-100133,2023-01-29,2023-01-31,First Class,CUST-1285,PROD-1034,Tea Set,Food & Grocery,East,Ipswich,10,142.17,0.05,1350.61,535.04,0.3961
ORD-100134,2024-09-09,2024-09-12,First Class,CUST-1147,PROD-1019,Curtains,Home & Garden,East,Cambridge,8,188.03,0.0,1504.24,825.12,0.5485
ORD-100135,2023-06-10,2023-06-16,Same Day,CUST-1109,PROD-1002,Tablet,Electronics,East,Norwich,6,223.3,0.05,1272.81,605.17,0.4755
ORD-100136,2023-05-12,2023-05-13,Second Class,CUST-1119,PROD-1008,T-Shirt,Clothing,North,Liverpool,10,301.61,0.0,3016.1,1554.0,0.5152
ORD-100137,2022-10-09,2022-10-10,Second Class,CUST-1208,PROD-1006,Speaker,Electronics,West,Exeter,8,80.29,0.0,642.32,253.44,0.3946
ORD-100138,2022-05-02,2022-05-09,Standard Class,CUST-1293,PROD-1030,Swimwear,Sports,South,Southampton,6,234.35,0.0,1406.1,527.16,0.3749
ORD-100139,2024-03-24,2024-03-31,Same Day,CUST-1095,PROD-1011,Dress,Clothing,West,Cardiff,1,163.61,0.2,130.89,33.1,0.2529
ORD-100140,2023-08-06,2023-08-10,Same Day,CUST-1068,PROD-1019,Curtains,Home & Garden,Central,Derby,2,188.03,0.0,376.06,206.28,0.5485
ORD-100141,2024-04-10,2024-04-17,Same Day,CUST-1263,PROD-1036,Organic Honey,Food & Grocery,South,Brighton,10,590.43,0.2,4723.44,1306.16,0.2765
ORD-100142,2023-04-28,2023-05-02,First Class,CUST-1168,PROD-1020,Rug,Home & Garden,South,London,5,47.19,0.05,224.15,131.34,0.5859
ORD-100143,2022-08-31,2022-09-04,First Class,CUST-1081,PROD-1016,Sofa,Home & Garden,East,Cambridge,1,663.83,0.15,564.26,335.38,0.5944
ORD-100144,2024-05-01,2024-05-07,Same Day,CUST-1275,PROD-1030,Swimwear,Sports,South,Portsmouth,10,234.35,0.0,2343.5,878.6,0.3749
ORD-100145,2024-12-17,2024-12-23,First Class,CUST-1039,PROD-1015,Shorts,Clothing,Central,Birmingham,9,640.74,0.05,5478.33,1785.24,0.3259
ORD-100146,2022-11-03,2022-11-05,First Class,CUST-1266,PROD-1035,Spice Kit,Food & Grocery,Central,Coventry,10,64.72,0.1,582.48,271.35,0.4659
ORD-100147,2024-04-30,2024-05-04,Standard Class,CUST-1286,PROD-1028,Tennis Racket,Sports,North,Sheffield,3,329.27,0.1,889.03,393.28,0.4424
ORD-100148,2022-05-30,2022-05-31,Same Day,CUST-1176,PROD-1025,Dumbbells,Sports,East,Norwich,4,92.15,0.1,331.74,170.5,0.514
ORD-100149,2024-04-17,2024-04-19,Second Class,CUST-1215,PROD-1003,Headphones,Electronics,North,Sheffield,1,236.88,0.0,236.88,118.86,0.5018
ORD-100150,2024-12-19,2024-12-21,Second Class,CUST-1001,PROD-1022,Mirror,Home & Garden,North,Leeds,9,710.06,0.05,6071.01,2018.65,0.3325
ORD-100151,2022-02-02,2022-02-04,Second Class,CUST-1034,PROD-1007,Monitor,Electronics,North,Sheffield,10,51.06,0.2,408.48,148.88,0.3645
ORD-100152,2022-04-01,2022-04-05,Same Day,CUST-1119,PROD-1002,Tablet,Electronics,West,Bath,1,223.3,0.0,223.3,106.17,0.4755
ORD-100153,2023-10-19,2023-10-21,First Class,CUST-1073,PROD-1032,Olive Oil,Food & Grocery,East,Cambridge,10,172.25,0.0,1722.5,807.6,0.4689
ORD-100154,2024-10-12,2024-10-13,First Class,CUST-1195,PROD-1035,Spice Kit,Food & Grocery,Central,Coventry,7,64.72,0.1,407.74,189.94,0.4658
ORD-100155,2022-10-23,2022-10-30,Same Day,CUST-1029,PROD-1034,Tea Set,Food & Grocery,West,Cardiff,4,142.17,0.0,568.68,225.28,0.3961
ORD-100156,2023-06-07,2023-06-09,First Class,CUST-1040,PROD-1035,Spice Kit,Food & Grocery,Central,Coventry,7,64.72,0.0,453.04,211.05,0.4659
ORD-100157,2022-05-30,2022-06-01,Second Class,CUST-1245,PROD-1024,Yoga Mat,Sports,Central,Derby,1,108.76,0.2,87.01,31.58,0.3629
ORD-100158,2023-02-23,2023-02-27,Second Class,CUST-1282,PROD-1013,Hoodie,Clothing,South,London,8,730.12,0.0,5840.96,2840.64,0.4863
ORD-100159,2024-01-06,2024-01-09,First Class,CUST-1184,PROD-1018,Lamp,Home & Garden,West,Plymouth,9,1076.69,0.15,8236.68,4517.02,0.5484
ORD-100160,2023-10-18,2023-10-20,First Class,CUST-1160,PROD-1031,Coffee Beans,Food & Grocery,West,Bristol,8,86.95,0.2,556.48,333.82,0.5999
ORD-100161,2023-04-17,2023-04-21,Second Class,CUST-1255,PROD-1026,Running Shoes,Sports,East,Cambridge,4,428.06,0.0,1712.24,664.48,0.3881
ORD-100162,2023-12-23,2023-12-25,Second Class,CUST-1279,PROD-1031,Coffee Beans,Food & Grocery,West,Plymouth,3,86.95,0.15,221.72,133.01,0.5999
ORD-100163,2022-11-06,2022-11-07,Second Class,CUST-1258,PROD-1026,Running Shoes,Sports,South,Brighton,2,428.06,0.15,727.7,282.4,0.3881
ORD-100164,2024-04-22,2024-04-23,Standard Class,CUST-1271,PROD-1030,Swimwear,Sports,West,Bristol,1,234.35,0.1,210.91,79.07,0.3749
ORD-100165,2023-01-03,2023-01-04,Standard Class,CUST-1268,PROD-1018,Lamp,Home & Garden,North,Liverpool,7,1076.69,0.2,6029.46,3306.58,0.5484
ORD-100166,2023-12-27,2023-12-30,Same Day,CUST-1040,PROD-1015,Shorts,Clothing,South,Oxford,9,640.74,0.0,5766.66,1879.2,0.3259
